Positive_words,Frequency
trouble,128
credit,62
four,64
times,368
surprised,164
hoax,4
legit,12
ready,122
n,68
bery,4
excelente,264
telefono,26
todo,20
bien,52
solo,2
ofertan,2
un,48
desbloqueado,6
es,28
cierto,2
deben,2
ser,8
sinceros,2
engañar,2
la,78
gente,8
blemishes,24
included,198
solid,112
trusty,6
helper,4
hundreds,24
falls,8
replace,322
good+++++++++,4
charger's,4
chewed,4
dog,4
stands,22
terms,38
steve,8
wozniak,4
began,42
creative,4
genius,26
jobs,8
marketing,8
engineering,6
fabulous,22
h-a-r-d,4
1000,4
employees,4
"""project",4
"purple""",4
immaculate,24
constantly,100
recharging,6
strongly,32
considering,86
teen,12
exception,26
sticks,46
sometimes,268
doesthank,4
god,36
instructions,72
connect,176
istore,6
etc,160
pictured,18
care,126
covered,44
anyway,110
cracked,130
shell,28
inut,4
interfere,12
operations,18
fyi,4
chosen,6
value,222
view,42
"""excelente",2
coloque,2
segui,2
instrucciones,2
del,12
funciono,2
inmediato,4
sin,20
errores,2
adapto,2
las,8
operadoras,2
complicaciones,2
tenido,2
blackberry,36
por,28
años,2
daño,2
opte,2
comprar,2
el,104
duda,2
alguna,2
fue,18
mejor,10
decision,32
mundo,6
recomiendo,36
al,16
vendedor,20
"100%""",6
avertized,2
6,298
support,182
itunes,128
ither,2
16gb,194
$213,2
glad,232
waited,32
dropped,144
unlike,52
who's,16
hearingi,4
deciding,14
asus,40
zenfone2,8
idolthe,6
effectsthe,4
charges,66
tablet,80
havethe,4
ease,58
lets,40
otathe,4
non-issues,4
there's,136
qi,6
receiver,8
tho,22
review,414
b,12
bottom,164
searching,44
fori,4
ill,12
games,166
cant,204
ahold,2
france,2
sfr,2
wont,86
frozen,2
atm,2
speedy,50
eight,6
nine,2
hundred,26
bucks,86
family,172
64,46
gb,272
6s,22
plusgetting,2
mostly,52
simple—i,2
updates,86
cards,92
pain,26
necessary,42
discovered,42
include,64
tape,20
fall,22
mentioned,100
anywhere,66
package,212
smoothlythe,2
far•,2
storagememory,2
128,8
it'll,30
limited,54
phone's,64
built-in,20
storage•,2
hd,68
1080,6
x,106
1920,2
readable,6
"""normal""",2
setting,114
room,46
whatever,60
images,24
generally,20
smooth,134
jagginess•,2
"""double",2
"tap""",2
feature,276
wake,92
sleep,26
convenient—especially,2
reversible,58
caveat,4
instance,12
sleep•,4
orients,4
holding,70
earpiece,26
microphones,10
switch,152
side,260
upside,26
down•,2
transferred,28
photos,180
unplugged,2
usb,154
39%,2
nights,2
ago•,2
"""sweep""",2
enables,2
open,178
convenient•,2
despite,48
significantly,18
huge,172
notice•,2
stereo,98
good—and,2
it•,2
upgradable,2
indication,2
available,170
anytime,18
soon,220
themthere,2
keen,2
moment•,2
placement,50
buttons,160
opposite,8
sides,56
placed,60
taken,88
inadvertent,2
screenshots,6
screen•,8
matter,122
appear,50
live,128
colors,78
washed,34
automatic,6
exposure,24
whereas,4
manual,110
82016,2
mode,98
useless,44
adjust,20
iso,12
shutter,26
focus,44
image—yup,2
whatsoever,50
panoramic,6
jagged,2
edges,20
probably,220
sections,2
image,36
stitched,2
event,6
lighting,24
noisy,10
blockiness,2
apparent,4
chroma,2
noise,40
takes,182
onto,70
either,196
real,174
camera•,2
pin,48
unlock,348
requires,30
"""check""",2
key,78
unlocks,2
digit,2
forget,28
rather,118
lengthy,2
splash,2
animation,4
finished,2
name,84
signal,208
strength,32
shows,66
"""no",24
"card""",10
–,20
"[carrier]""",2
appears,86
gives,74
pause,8
nano,18
time—but,2
verified,22
panel,14
telephony,2
properlyas,2
sounded,24
give,394
edge,42
qualityi,2
rarely,30
listen,86
mea,2
note,184
they've,32
hidden,12
lid,2
covering,12
compartments,2
contain,6
holder,16
miss,56
finally,218
thereapart,2
hiccups,10
liking,14
exorbitant,2
amount,104
size,324
dont,132
realy,20
ope,2
playstore,12
watch,62
chargeever,2
50%,52
message,48
zero,32
lemon,20
honme,4
wel,4
len,6
"""unlocked""",48
beggining,8
cover,118
bent,16
straighten,2
worried,102
scrape,10
girls,2
helpful,68
#s,6
true,112
mint,56
wellthank,2
15,108
nw,18
omg,14
contacting,44
teenager,34
wanting,76
investmentstarter,10
conditionand,8
cool,122
rendered,6
unresponsive,46
therefore,44
silicone,18
temper,4
protective,54
abuse,10
pocket,102
physical,44
warned,12
$600+,8
lg,118
g4,46
s6,56
plain,28
ipad,174
intermittently,14
nothing,304
restart,26
thesei,4
contacted,170
downside,48
whack,4
majority,14
recalled,4
penny,12
pricedecent,2
verizonupdated,4
obvious,30
guessing,4
cheaply,12
valid,24
movilnet,16
speakenglish,2
learning,54
"""tapping""",2
techniques,2
requested,12
slip,12
waiting,110
recently,94
keyboard,74
needs,230
frequently,34
person,294
pops,8
teenage,36
daughters,36
answer,96
incredible,56
perfectlycouldn't,2
ship,86
receives,8
coverage,38
dallas,4
austin,2
texas,6
areas,52
feels,128
keeping,42
ears,8
changing,24
earbud,4
inserts,2
streams,2
mlbtv,2
main,98
hoping,74
hardcore,4
lasts,126
includes,34
mlb,2
clash,6
clans,6
facebookgoogle,2
hangouts,10
messaging,72
choice,96
latency,2
50,66
build,104
vibrant,24
amazingcons,2
dial,16
famous,4
emergency,20
accustomed,10
nokia,54
lumia,18
925,4
pages,28
shortcuts,6
changed,68
responsive,102
wife's,18
sony,38
xperia,12
consi,6
fan,52
boy,22
crazy,44
whole,148
persuade,2
husband,130
userthe,2
brochure,2
keeps,96
highly-coveted,2
felt,64
pos,10
alot,40
decade,8
street,10
plastic,154
sleeve,6
quocly,2
onoff,46
brazilit,4
32gb,172
fantastic,128
songs,28
adores,6
rant,4
torch,10
9850,2
ran,40
obligation,2
eligible,22
mid,24
june,34
force,8
surprisingly,62
64999+,2
tax,16
distinct,2
besides,86
third,58
party,68
saving,14
apply,2
nuts,2
voice,150
fault,70
research,40
making,144
damages,10
instruction,20
book,50
73,6
yrs,12
phonehas,6
rate,72
jitterbug,8
instead,196
bells,18
whistles,18
less,272
thephone,8
jitterbugit's,6
figure,88
birthday,90
nowgrrr,8
tiny,56
scratcheseverything,4
else,208
apples,14
respond,58
incharging,6
tends,28
refurbish,34
bring,58
fee,38
although,262
single,68
dad,54
friends,170
v10,2
ive,52
flagship,132
overly,16
lcd,26
4k,2
breaker,22
1080p,50
20,78
evocel,2
charts,2
s4,60
640,2
budget,134
mini,82
welli've,4
th,10
ipads,8
primary,26
receive,272
45,28
burned,14
enable,10
contact,160
child,14
moved,26
house,74
16,84
hated,10
downgrade,22
tracfone,172
capable,42
"""like",64
"new""",96
comments,34
quite,206
cosmetic,42
blamed,6
asking,60
detail,22
per,40
expectations,212
across,48
contains,4
met,96
grandson,58
acts,10
certain,68
actions,4
funcionan,2
en,100
wa,4
pieces,22
[so,4
far],4
liked,200
wellbut,4
postiches,4
disappointedno,4
cosmetically,20
conscious,8
ripped,16
advice,44
sellers,76
90,60
98,6
awhile,18
600,18
previous,154
owner,88
ask,114
108030p,6
taking,174
pics,54
means,126
filmography,6
left,200
silent,18
theres,18
buttom,6
round,10
wit,22
square,20
graphic,12
issleepshut,6
towards,12
head,56
jack,52
mic,40
magic,12
google,220
93,18
32,84
icloud,52
5gb,8
thus,40
plan,296
loving,80
color,200
pleasure,20
inches,12
moto,178
g,144
2013,16
handed,12
watching,102
netfilx,2
enjoyable,10
ui,48
laggy,36
friend's,2
touchwiz,8
hangs,12
cam,8
europa,6
scared,28
pic,14
shown,18
piece,140
w,34
adhesive,10
resolved,34
partial,12
hi,20
begreatit,2
awhileeven,2
betterbut,2
feelings,6
needwant,2
stating,26
understood,12
expanding,6
cracking,16
expanded,6
powered,36
pad,14
moreover,12
"6""",18
saw,118
afraid,20
request,30
esn,56
u,178
according,56
specs,114
expectedhaving,8
turned,278
blown,40
badonly,8
wud,8
plus,274
buuuuttttt,8
yah,12
garbage,34
defeated,4
sale,68
bag,20
openbut,2
contacts,50
reception,118
distance,8
added,82
playing,78
5-star,16
perfect-,8
warehouse,166
deals,82
reconsider,2
considered,32
'like,6
new'their,2
definition,14
new',6
"new""""",2
meet,52
amazoncom,42
standards,22
customer-returned,2
possible,70
opened,140
removed,50
comes,318
testing,14
determine,6
out,12
factory-sealed,6
"new""my",2
employee,10
wobbly,2
terrible--i,2
